Title,Bucket,Level,Domain,Workstream,Priority,Owner,Supporting Owners,Source Files,Source Notes,Description,Definition of Done,Labels
Define Level 1 FCI scope and system boundary,L1 Foundation,Level 1,Program,Scope,Critical,Ryan Lin,Joshua Hornback; Andy Volk; Sulaiman Ahmad,CMMC_functional_project_plan.md; CMMC_L1_L2_gap_review.md; level_1/L1_gap_register.md,Use the Level 1 Foundation and Scope sections plus the current gap register.,"Write the actual Level 1 scope statement for the organization. Identify which systems, users, devices, locations, and business processes handle FCI. Note anything explicitly out of scope so later evidence work stays bounded.","A written scope statement exists, identifies the in-scope FCI environment, names the main systems and locations, and is approved for the rest of the Level 1 work.",L1;Foundation;Scope;Executive
Assign Level 1 control and evidence owners,L1 Foundation,Level 1,Program,Ownership,High,Andy Volk,Ryan Lin; Joshua Hornback; Sulaiman Ahmad,level_1/L1_prep_owner_matrix.md; CMMC_functional_project_plan.md,Use the owner matrix file and team roles already defined in the project plan.,Update the owner matrix so each Level 1 family and each required artifact has one accountable owner and any needed support owners. Resolve any gaps where ownership is implied but not explicit.,"The owner matrix names an accountable owner for every Level 1 family, artifact, and evidence set, and the team has agreed to the assignments.",L1;Foundation;Ownership
Build the Level 1 evidence index,L1 Foundation,Level 1,Program,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_1/L1_prep_evidence_index.md; CMMC_L1_L2_gap_review.md,Use the evidence index template and the Level 1 task list from the gap review.,"For each of the 17 Level 1 practices, record the source artifact, the operational proof to collect, the owner, and where the evidence will be stored. Use the existing Level 1 files as the starting inventory.","All 17 Level 1 practices are listed with artifact references, evidence expectations, owners, and storage locations or a clear gap note.",L1;Foundation;Evidence
Run the Level 1 gap assessment,L1 Foundation,Level 1,Program,Gap Assessment,Critical,Joshua Hornback,Andy Volk; Ryan Lin,level_1/L1_prep_gap_assessment_tracker.md; level_1/L1_prep_evidence_index.md; CMMC_L1_L2_gap_review.md,Use the current tracker and compare it against the evidence index and Level 1 gap review.,"Review each Level 1 practice and mark it as covered, partially covered, or missing. Capture the specific missing artifact, missing implementation proof, or missing approval needed to close the practice.","The tracker shows current status for all Level 1 practices, with gaps described in plain language and assigned to an owner.",L1;Foundation;Gap
Assemble the Level 1 readiness package,L1 Foundation,Level 1,Program,Readiness,High,Andy Volk,Joshua Hornback; Ryan Lin,level_1/L1_prep_evidence_index.md; level_1/L1_prep_gap_assessment_tracker.md; CMMC_functional_project_plan.md,"Use the evidence index, the gap tracker, and the Level 1 readiness expectations in the project plan.","Create the reviewable package for leadership and internal readiness review. Include the scope statement, owner matrix, evidence index, open gaps, and a short summary of what is ready versus what still needs work.","Leadership can open one package and understand scope, evidence status, and remaining Level 1 gaps without reading the entire repository.",L1;Foundation;Readiness;Executive
Tailor Level 1 AC policies and role records,L1 Access Control,Level 1,AC,Policy and Records,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_1/AC.L1b.1.i-AccessControlPolicyTemplate.md; level_1/AC.L1-b.1.ii-AccessEnforcementPolicyTemplate.md; level_1/AC.L1-b.1.ii-RoleDefinitionsTemplate.md; CMMC Class Handbook.md,Use the Level 1 AC practice sections and the existing AC templates.,"Replace template language in the Level 1 Access Control files with the real environment. Define authorized users and devices, approved roles, how access is enforced, and which systems and external services are allowed.","The AC policy and related records reflect the real environment, identify authorized access rules, and are usable as evidence without further interpretation.",L1;AC;Policy
Validate Level 1 external access and public posting controls,L1 Access Control,Level 1,AC,Implementation,High,Joshua Hornback,Andy Volk,level_1/AC.L1-b.1.iii-ExternalSystemAccessPolicyTemplate.md; level_1/AC.L1-b.1.iii-ListofApprovedExternalSystemsTemplate.md; level_1/AC.L1-b.1.iii-AccessControlVPNConfigurationDetails.md; level_1/AC.L1-b.1.iv-PublicPostingPolicyTemplate.md; level_1/AC.L1-b.1.iv-ContentReviewRecords.md,Use the external access and public posting files in Level 1 AC.,"Document and validate how remote access, VPN use, third-party or external systems, and public posting review are handled today. Update the approved external systems list and content review records so they represent current practice.","External access rules, approved systems, VPN details, and public posting controls are current and supported by records that can be shown during review.",L1;AC;Implementation
Collect Level 1 AC evidence,L1 Access Control,Level 1,AC,Evidence,High,Andy Volk,Joshua Hornback,level_1/AC.L1-b.1.i-AccessControlListofUsersandDevices.md; level_1/AC.L1-b.1.iv-ListofAuthorizedPersonnel.md; level_1/L1_prep_evidence_index.md,Use the AC inventories plus the Level 1 evidence index.,"Collect the actual evidence for Level 1 AC: current user and device lists, authorized personnel lists, approval records, and any system settings or screenshots needed to prove enforcement. Link each evidence item back to the Level 1 evidence index.","Each Level 1 AC practice has current evidence attached or referenced, and the evidence index shows exactly where reviewers can find it.",L1;AC;Evidence
Tailor Level 1 IA documentation,L1 Identity & Authentication,Level 1,IA,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/IA.L1-b.1.v-UserIdentificationPolicy.md; level_1/IA.L1-b.1.vi-AuthenticationPolicy.md; level_1/IA.L1-b.1.vi-PasswordManagementProcedures.md; CMMC Class Handbook.md,Use the Level 1 IA practice sections and existing IA files.,"Update the Level 1 identification and authentication documents so they describe the actual account lifecycle, authentication methods, and password requirements in use. Call out how unique identities are assigned and how passwords are created, reset, and protected.",The IA documents describe real operating practice and can be used by the owner to explain how identity and authentication controls work in the environment.,L1;IA;Policy
Validate Level 1 account inventory and authentication settings,L1 Identity & Authentication,Level 1,IA,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_1/IA.L1-b.1.v-ListofSystemAccounts&DeviceIdentifiers.md; level_1/IA.L1-b.1.vi-PasswordManagementProcedures.md; level_1/L1_prep_evidence_index.md,Use the account inventory file and the evidence index.,"Update the system account and device identifier inventory, then confirm that the listed accounts align to the actual systems in scope. Validate that authentication settings and password rules match the documented process.","The account inventory is current, authentication settings are verified, and any mismatches are captured as gaps with owners.",L1;IA;Implementation;Evidence
