Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Define Level 1 scope and FCI boundary,L1 Foundation,Level 1,Program,,,Epic,Critical,Ryan Lin,Joshua Hornback; Andy Volk; Sulaiman Ahmad,Handbook; level_1 artifacts,L1;Foundation;Scope;Executive;Epic,"Confirm the in-scope FCI environment, system boundary, users, devices, locations, and data flows.",Approved Level 1 scope statement exists and is referenced by all Level 1 work.
Complete Level 1 owner matrix,L1 Foundation,Level 1,Program,,Define Level 1 scope and FCI boundary,Prep,High,Andy Volk,Ryan Lin; Joshua Hornback; Sulaiman Ahmad,L1_prep_owner_matrix.md,L1;Foundation;Ownership;Prep,"Assign accountable and supporting owners for each Level 1 family, artifact, and evidence set.",Every Level 1 family and artifact has a named accountable owner.
Build Level 1 practice evidence index,L1 Foundation,Level 1,Program,,Define Level 1 scope and FCI boundary,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,L1_prep_evidence_index.md,L1;Foundation;Evidence;Tracking,"Map each Level 1 practice to source artifacts, operational proof, owner, and review cadence.",All 17 Level 1 practices have an evidence path or tracked gap.
Run Level 1 gap assessment,L1 Foundation,Level 1,Program,,Define Level 1 scope and FCI boundary,Review,Critical,Joshua Hornback,Andy Volk; Ryan Lin,L1_prep_gap_assessment_tracker.md; evidence index,L1;Foundation;Gap;Review,Assess all Level 1 practices against current documentation and operating evidence.,"All Level 1 gaps are recorded with owners, severity, and closure targets."
Approve Level 1 readiness package,L1 Foundation,Level 1,Program,,Define Level 1 scope and FCI boundary,Approval,Critical,Ryan Lin,Joshua Hornback; Andy Volk,Completed Level 1 evidence and gap closure,L1;Foundation;Approval;Executive,Review the consolidated Level 1 package and approve readiness posture or residual risk decisions.,Leadership signs off on Level 1 readiness status and remaining actions.
Define Level 2 CUI scope and SSP baseline,L2 Foundation,Level 2,Program,,,Epic,Critical,Ryan Lin,Joshua Hornback; Andy Volk; Sulaiman Ahmad,Handbook; level_2 artifacts; SSP,L2;Foundation;Scope;Executive;Epic,"Confirm the in-scope CUI environment, asset categories, users, services, data flows, and assessment boundary.",Approved Level 2 boundary and SSP baseline exist for all Level 2 work.
Tailor Level 2 SSP to the live environment,L2 Foundation,Level 2,SSP,,Define Level 2 CUI scope and SSP baseline,Document,Critical,Joshua Hornback,Andy Volk; Ryan Lin; Sulaiman Ahmad,CMMC_L2_SSP_062025.md,L2;Foundation;SSP;Document,"Rewrite the SSP with real systems, trust zones, owners, inventories, and data flows.","The SSP is environment-specific, current, and approved for readiness use."
Build Level 2 evidence index,L2 Foundation,Level 2,Program,,Define Level 2 CUI scope and SSP baseline,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,L2_prep_evidence_index.md; SSP,L2;Foundation;Evidence;Tracking,"Map all Level 2 practices to artifacts, proof sources, owners, and review dates.",All Level 2 practices have evidence paths or tracked gaps.
Maintain Level 2 POA&M and gap register,L2 Foundation,Level 2,Program,,Define Level 2 CUI scope and SSP baseline,Prep,Critical,Andy Volk,Joshua Hornback; Ryan Lin; Sulaiman Ahmad,L2_gap_register.md; L2_prep_POAM_tracker.md,L2;Foundation;POAM;Gap;Tracking,"Track structural gaps, practice gaps, remediation owners, due dates, and closure evidence.",All material Level 2 deficiencies are tracked through closure.
Run Level 2 mock assessment and executive review,L2 Foundation,Level 2,Program,,Define Level 2 CUI scope and SSP baseline,Review,Critical,Joshua Hornback,Andy Volk; Ryan Lin; Sulaiman Ahmad,L2_prep_mock_assessment_checklist.md; SSP; evidence index; POA&M,L2;Foundation;MockAssessment;Executive;Review,"Prepare for and execute an internal mock assessment, then brief leadership on readiness and residual risk.","Mock assessment is complete, findings are logged, and leadership has reviewed readiness status."
Complete AC Level 1 family readiness,L1 Access Control,Level 1,AC,,,Epic,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Level 1 scope; owner matrix,L1;AC;Epic;Family,"Complete Level 1 AC documentation, implementation validation, evidence, review, and approval.",AC Level 1 family package is complete and traceable to all applicable practices.
Finalize AC Level 1 policy,L1 Access Control,Level 1,AC,,Complete AC Level 1 family readiness,Policy,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Complete AC Level 1 family readiness; level_1 AC artifacts,L1;AC;Policy,Tailor the Level 1 AC policy content to the live FCI environment.,Policy is approved and reflects the current operating environment.
Finalize AC Level 1 procedure,L1 Access Control,Level 1,AC,,Complete AC Level 1 family readiness,Procedure,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Complete AC Level 1 family readiness; level_1 AC artifacts,L1;AC;Procedure,"Document how Level 1 AC controls are performed, maintained, and evidenced in operations.","Procedure is approved, operationally accurate, and linked to evidence sources."
Validate AC Level 1 family implementation,L1 Access Control,Level 1,AC,,Complete AC Level 1 family readiness,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Policy and procedure for AC,L1;AC;Implementation,"Validate the family-level implementation approach, tooling, records, and operating cadence for AC.",Family-level implementation checks are complete and deficiencies are recorded.
Collect AC Level 1 family evidence set,L1 Access Control,Level 1,AC,,Complete AC Level 1 family readiness,Evidence,High,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC implementation validation; evidence index,L1;AC;Evidence,Assemble the baseline artifact and proof set for the Level 1 AC family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review AC Level 1 family package,L1 Access Control,Level 1,AC,,Complete AC Level 1 family readiness,Review,High,Sulaiman Ahmad,Andy Volk; Sulaiman Ahmad,AC family evidence set,L1;AC;Review,"Review the full Level 1 AC package for completeness, traceability, and readiness.",The family package passes internal review or has tracked corrective actions.
Approve AC Level 1 family package,L1 Access Control,Level 1,AC,,Complete AC Level 1 family readiness,Approval,High,Ryan Lin,Joshua Hornback,AC family review complete,L1;AC;Approval;Executive,Approve the Level 1 AC package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate AC.L1-3.1.1 Authorized Access Control,L1 Access Control,Level 1,AC,AC.L1-3.1.1,Complete AC Level 1 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 1 policy and procedure,L1;AC;Practice;AC.L1-3.1.1,Validate implementation of AC.L1-3.1.1 Authorized Access Control in the live environment.,AC.L1-3.1.1 is implemented or a concrete gap is documented.
Collect evidence for AC.L1-3.1.1,L1 Access Control,Level 1,AC,AC.L1-3.1.1,Complete AC Level 1 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L1-3.1.1 Authorized Access Control; Level 1 evidence index,L1;AC;Evidence;AC.L1-3.1.1,Collect artifact and operational proof for AC.L1-3.1.1 Authorized Access Control.,"Evidence for AC.L1-3.1.1 is current, stored, and mapped in the evidence index."
