Ticket ID,Epic,Domain,Task Type,Title,Summary,Primary Owner,Depends On,Source Docs,Evidence / Acceptance Criteria,Priority,Status
CMMC-001,Program Setup,PMO,Planning,Confirm CMMC scope and target level,"Confirm whether each in-scope system handles only FCI or also CUI, and lock the program target at Level 2 with Level 1 as the hygiene baseline.",Program Manager,,CMMC_L2_SSP_062025.md,"Scope memo approved; assessment target and in-scope environment documented in SSP.",Critical,Not Started
CMMC-002,System Definition,SSP,Document,Tailor SSP with real boundary and owners,"Replace placeholders in the SSP with actual system names, owners, locations, trust zones, data flows, and in-scope services.",System Owner,CMMC-001,CMMC_L2_SSP_062025.md,"SSP updated with real environment details and approved for working use.",Critical,Not Started
CMMC-003,Asset Governance,CM,Implementation,Build authoritative asset inventory,"Create and maintain a single inventory of endpoints, servers, SaaS platforms, network devices, and security tooling in scope for CUI.",SRE Lead,CMMC-002,"CMMC_L2_SSP_062025.md; ConfigurationManagementPolicyLevel2-3v01a.md; ConfigurationManagementProcedureLevel2-3v01a.md","Inventory exists, has owners, and is referenced by the SSP.",Critical,Not Started
CMMC-004,Executive Governance,PMO,Document,Approve policy review cadence,"Define policy owners, approval authority, review cycle, and document control for all CMMC artifacts.",Program Manager,CMMC-001,"AuditandAccountabilityPolicyLevel2v01a.md; AwarenessandTrainingPolicyLevel2-3v01a.md; ConfigurationManagementPolicyLevel2-3v01a.md; MaintenancePolicyLevel2-3v01a.md; PersonnelSecurityPolicyLevel2-3v01a.md; RiskAssessmentPolicyLevel2-3v01a.md; SecurityAssessmentPolicyLevel2-3v01a.md","Document register and review cadence approved; owners named.",High,Not Started
CMMC-005,Access Control,AC,Document,Create access control policy and procedure,"Add organization-specific AC documentation covering account approval, least privilege, remote access, mobile, wireless, and portable media restrictions.",Security Manager,CMMC-002,CMMC_L2_SSP_062025.md,"AC policy and procedure approved and mapped to SSP practices 3.1.x.",Critical,Not Started
CMMC-006,Access Control,AC,Implementation,Enforce account lifecycle and least privilege,"Implement joiner/mover/leaver workflow, privileged access restrictions, and periodic access reviews for all in-scope systems.",Identity Admin,CMMC-005,"CMMC_L2_SSP_062025.md; PersonnelSecurityProcedureLevel2-3v01a.md","Access workflow documented; review records and role assignments available.",Critical,Not Started
CMMC-007,Access Control,AC,Implementation,Harden remote access paths,"Restrict remote administration to approved methods with MFA, encryption, logging, and documented approval for privileged remote access.",SRE Lead,CMMC-005,CMMC_L2_SSP_062025.md,"Remote access architecture documented; MFA enforced; logs retained.",Critical,Not Started
CMMC-008,Identity,IA,Document,Create identification and authentication procedure,"Document identity proofing, unique IDs, password or authenticator requirements, MFA expectations, and service account handling.",Security Manager,CMMC-002,CMMC_L2_SSP_062025.md,"IA procedure approved and referenced by operations team.",Critical,Not Started
CMMC-009,Identity,IA,Implementation,Validate MFA and unique identity coverage,"Confirm all in-scope admin and user access uses unique identities and MFA where required by policy and system design.",Identity Admin,CMMC-008,CMMC_L2_SSP_062025.md,"Control matrix shows MFA and unique identity coverage for each system.",Critical,Not Started
CMMC-010,Audit Operations,AU,Document,Tailor audit policy and procedure,"Update AU templates to reflect real log sources, review roles, retention expectations, and alert thresholds.",Security Manager,CMMC-002,"AuditandAccountabilityPolicyLevel2v01a.md; AuditandAccountabilityProcedureLevel2v01a.md","Approved AU documents reflect actual monitoring stack and process.",Critical,Not Started
