Title,Bucket,Level,Domain,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Confirm Level 1 FCI scope,L1 Foundation,Level 1,Program,Prep,Critical,Ryan Lin,"Joshua Hornback; Andy Volk; Sulaiman Ahmad","Existing level_1 artifacts; handbook","L1;Foundation;Prep;Scope;Executive","Define the in-scope FCI environment including systems, users, devices, networks, and physical locations.","Approved scope statement exists and is referenced by Level 1 work."
Complete Level 1 owner matrix,L1 Foundation,Level 1,Program,Prep,High,Andy Volk,"Ryan Lin; Joshua Hornback; Sulaiman Ahmad","L1_prep_owner_matrix.md; confirmed team roles","L1;Prep;Ownership;Admin","Assign primary and supporting owners for each Level 1 artifact and control family.","Owner matrix is approved and every Level 1 artifact has a named owner."
Build Level 1 evidence index,L1 Foundation,Level 1,Program,Evidence,Critical,Joshua Hornback,"Andy Volk; Sulaiman Ahmad","L1_prep_evidence_index.md; Level 1 artifact inventory","L1;Evidence;Prep;Tracking","Map each of the 17 Level 1 practices to artifacts, proof sources, owners, and review dates.","Every Level 1 practice is mapped to current evidence or a tracked gap."
Run Level 1 gap assessment,L1 Foundation,Level 1,Program,Review,Critical,Joshua Hornback,"Andy Volk; Ryan Lin","L1_prep_gap_assessment_tracker.md; evidence index","L1;Gap;Review;Readiness","Assess all 17 Level 1 practices against the current artifact and operating evidence set.","All Level 1 gaps are recorded with owners, severity, and target dates."
Finalize Level 1 access control policy,L1 Access Control,Level 1,AC,Document,High,Joshua Hornback,"Andy Volk","AC.L1 policy templates; Level 1 scope","L1;AC;Document;Policy","Replace template language with environment-specific access control policy content.","Approved access control policy reflects the live environment."
Validate authorized users and devices,L1 Access Control,Level 1,AC,Implementation,Critical,Joshua Hornback,"Andy Volk","Access control policy; system inventory","L1;AC;Implementation;Evidence","Confirm authorized user and device lists are current and enforceable for in-scope systems.","Authorized user/device records are current and linked in the evidence index."
Validate external access and public posting controls,L1 Access Control,Level 1,AC,Implementation,High,Joshua Hornback,Andy Volk,"AC external access templates; VPN details","L1;AC;Implementation;Evidence","Confirm external system access, VPN configuration, and public posting restrictions are documented and enforced.","External access controls are documented, validated, and evidenced."
Finalize identification and authentication artifacts,L1 Identity,Level 1,IA,Document,High,Joshua Hornback,Sulaiman Ahmad,"IA policy templates; account inventory","L1;IA;Document;Policy","Finalize identification, authentication, and password procedure documents for the live environment.","IA documents are current and approved."
Validate account inventory and authentication controls,L1 Identity,Level 1,IA,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"IA documents; directory and account data","L1;IA;Implementation;Evidence","Confirm unique identities, account inventory, authentication settings, and password controls are operating.","Account inventory and authentication evidence are current and mapped to practices."
Finalize media disposal and reuse procedures,L1 Media Protection,Level 1,MP,Document,Medium,Andy Volk,Joshua Hornback,"MP policy and reuse procedure templates","L1;MP;Document;Policy","Tailor media disposal and reuse procedures to the actual environment and handling process.","Media handling documents are approved and operationally accurate."
Validate media disposal logs and sanitization,L1 Media Protection,Level 1,MP,Implementation,High,Andy Volk,Joshua Hornback,"Media procedures; disposal process","L1;MP;Implementation;Evidence","Confirm disposal and reuse records exist and media containing FCI is sanitized or destroyed correctly.","Current disposal and sanitization evidence exists for the in-scope environment."
Finalize physical access policy and records,L1 Physical Protection,Level 1,PE,Document,High,Andy Volk,"Ryan Lin; Joshua Hornback","PE templates; site access process","L1;PE;Document;Policy","Finalize physical access policy, visitor procedures, badge records, and access list structure.","Physical access documentation is approved and aligned to actual site operations."
Validate physical access logs and visitor controls,L1 Physical Protection,Level 1,PE,Implementation,High,Andy Volk,Joshua Hornback,"Physical access policy; facilities process","L1;PE;Implementation;Evidence","Confirm visitor escorting, badge control, and access log retention are operating in practice.","Current physical access evidence is collected and linked to Level 1 practices."
Finalize network monitoring and segmentation artifacts,L1 System Comms Protection,Level 1,SC,Document,High,Joshua Hornback,Sulaiman Ahmad,"SC templates; current network architecture","L1;SC;Document;Policy","Finalize network monitoring policy, segmentation policy, and network diagrams.","Network protection artifacts reflect the current environment."
Validate firewall and boundary protections,L1 System Comms Protection,Level 1,SC,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SC documents; network and firewall access","L1;SC;Implementation;Evidence","Confirm boundary protections, monitoring, and segmentation are operating for in-scope systems.","Boundary control evidence is current and mapped to Level 1 practices."
Finalize patch and malware management artifacts,L1 System Integrity,Level 1,SI,Document,High,Joshua Hornback,Sulaiman Ahmad,"SI templates; tooling outputs","L1;SI;Document;Policy","Finalize patch management, antivirus management, update policy, and scanning artifact set.","System integrity documents are accurate and approved."
Validate scanning, updates, and remediation evidence,L1 System Integrity,Level 1,SI,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,"SI documents; scan tools; update records","L1;SI;Implementation;Evidence","Confirm patching, scanning, malicious code protection, and update cadence are operating in practice.","Operational SI evidence is current and linked to Level 1 practices."
